id,lossyear,year
26,25808.36937,2016
26,18131.06471,2017
26,10583.46941,2018
26,8995.417762,2019
27,644323.2933,2001
27,75582.37666,2002
27,26817.18567,2003
27,184768.8381,2004
27,237158.7371,2005
27,187096.599,2006
27,196393.1132,2007
27,52740.38013,2008
27,693128.0928,2009
27,97362.57801,2010
27,140101.231,2011
27,55916.42478,2012
27,425443.4583,2013
27,483905.2138,2014
27,120782.5792,2015
27,296033.7244,2016
27,246487.0889,2017
27,627080.8655,2018
27,333620.1962,2019
28,15196.66614,2001
28,5265.374764,2002
28,0,2003
28,0,2004
28,6033.095545,2005
28,0,2006
28,10579.82972,2007
28,17047.62241,2008
28,7151.378845,2009
28,9075.938287,2010
28,6692.147254,2011
28,13790.93887,2012
28,28034.10954,2013
28,119340.344,2014
28,48625.86016,2015
28,87888.30233,2016
28,51072.73133,2017
28,27434.6433,2018
28,54336.41861,2019
29,893.9562378,2001
29,893.9567261,2002
29,1787.915161,2003
29,0,2004
29,2681.877075,2005
29,4469.790283,2006
29,9833.553528,2007
29,6702.931743,2008
29,1787.915527,2009
29,8939.576904,2010
29,13409.3736,2011
29,8939.577759,2012
29,95653.47632,2013
29,51018.71718,2014
29,7151.665344,2015
29,2681.879883,2016
29,50061.72552,2017
29,728216.1659,2018
29,93865.67621,2019
30,13407.7475,2001
30,161786.7104,2002
30,50055.62335,2003
30,153237.1924,2004
30,69720.11664,2005
30,86892.58531,2006
30,201242.199,2007
30,62569.44733,2008
30,132839.842,2009
30,240865.8788,2010
30,173224.5445,2011
30,84915.70538,2012
30,513329.0361,2013
30,320187.5721,2014
30,772093.6417,2015
30,621555.8633,2016
30,323689.5682,2017
30,407217.1124,2018
30,267278.832,2019
31,296114.4385,2001
31,174438.3951,2002
31,39332.76184,2003
31,2681.788635,2004
31,34200.55989,2005
31,101188.9845,2006
31,238173.7028,2007
31,200449.8773,2008
31,131053.1067,2009
31,153331.1431,2010
31,268917.6479,2011
31,101907.7426,2012
31,113525.036,2013
31,828631.8278,2014
31,447784.2375,2015
31,1142011.632,2016
31,654866.6341,2017
31,577617.3889,2018
31,2474182.092,2019
32,14114.17294,2001
32,2608.280685,2002
32,893.9675903,2003
32,1405.807813,2004
32,69091.50901,2005
32,27982.9819,2006
32,12971.313,2007
